Puskesmas,Latitude,Longitude
Puskesmas Natai Palingkau,-2.668607,111.661995
Puskesmas Kumpai Batu Atas,-2.78586,111.57318
Puskesmas Madurejo,-2.70066,111.64478
Puskesmas Mendawai,-2.68258,111.62131
Puskesmas Arut Selatan,-2.67474,111.63284
Puskesmas Runtu,-2.3699005,111.7282245
Puskesmas Arut Utara,-2.18992,111.92216
Puskesmas Sambi,-1.984134,112.003467
Puskesmas Ipuh Bangun Jaya,-2.323572,111.378788
Puskesmas Kotawaringin Lama,-2.48453,111.44287
Puskesmas Riam Durian,-2.448909,111.336681
Puskesmas Sungai Rangit,-2.62132,111.74219
Puskesmas Kumai,-2.73824,111.72203
Puskesmas Teluk Bogam,-3.004815,111.550983
Puskesmas Karang Mulya,-2.45994,111.9263
Puskesmas Semanggang,-2.45348,111.90256
Puskesmas Pandu Sanjaya,-2.475382,111.768746
Puskesmas Pangkalan Lada,-2.48854,111.82162
