Puskesmas,Tahun,Dokter,Dokter Gigi,Perawat,Bidan,Promosi Kesehatan,Tenaga Kesehatan Lingkungan,ATLM,Tenaga Gizi,Tenaga Kefarmasian,Total,Status
Puskesmas Runtu,2024,3,1,7,9,1,1,1,2,2,27,Lengkap
Puskesmas Kotawaringin Lama,2024,2,1,6,13,2,1,2,3,3,33,Lengkap
Puskesmas Riam Durian,2024,2,1,13,13,2,1,3,1,2,38,Lengkap
Puskesmas Mendawai,2024,4,1,9,9,4,1,2,2,3,35,Lengkap
Puskesmas Madurejo,2024,6,2,8,7,4,1,2,2,4,36,Lengkap
Puskesmas Natai Palingkau,2024,4,1,9,17,4,2,2,4,4,45,Lengkap
Puskesmas Kumpai Batu Atas,2024,2,1,10,13,2,1,2,2,2,35,Lengkap
Puskesmas Kumai,2024,3,1,14,20,2,1,2,3,3,48,Lengkap
Puskesmas Sungai Rangit,2024,2,1,14,10,1,1,2,3,3,35,Lengkap
Puskesmas Karang Mulya,2024,2,2,14,18,2,1,2,3,3,47,Lengkap
Puskesmas Semanggang,2024,3,1,18,22,4,2,4,4,4,61,Lengkap
Puskesmas Pandu Sanjaya,2024,2,1,8,12,2,1,2,3,3,33,Lengkap
Puskesmas Arut Utara,2024,1,1,14,16,1,1,1,2,3,40,Lengkap
Puskesmas Ipuh Bangun Jaya,2024,1,0,7,9,3,2,2,2,2,27,Tidak Lengkap
Puskesmas Arut Selatan,2024,7,1,7,7,4,0,3,3,3,34,Tidak Lengkap
Puskesmas Teluk Bogam,2024,2,0,9,5,2,1,1,4,4,26,Tidak Lengkap
Puskesmas Pangkalan Lada,2024,2,1,6,11,3,0,2,3,3,29,Tidak Lengkap
Puskesmas Sambi,2024,1,0,8,11,2,1,1,1,1,27,Tidak Lengkap
